expirygroup,expiryDate,c_Last,c_Change,c_Bid,c_Ask,c_Volume,c_Openinterest,c_colour,strike,p_Last,p_Change,p_Bid,p_Ask,p_Volume,p_Openinterest,p_colour,drillDownURL
,Oct 28,--,--,"1,773.50","1,973.50",--,--,True,"23,950.00",0.95,-5.90,0.20,1.10,1,2,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c23950000
,Oct 28,--,--,"1,763.50","1,963.50",--,--,True,"23,960.00",--,--,0.20,0.60,--,--,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c23960000
,Oct 28,--,--,"1,753.50","1,953.50",--,--,True,"23,970.00",--,--,0.25,1.10,--,--,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c23970000
,Oct 28,--,--,"1,743.50","1,943.50",--,--,True,"23,980.00",--,--,0.20,0.60,--,--,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c23980000
,Oct 28,--,--,"1,733.50","1,933.50",--,--,True,"23,990.00",17.52,--,0.20,0.60,--,3,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c23990000
,Oct 28,"1,781.97",--,"1,723.50","1,923.50",10,--,True,"24,000.00",1.15,-5.09,0.30,0.65,12,26,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24000000
,Oct 28,--,--,"1,713.50","1,913.50",--,--,True,"24,010.00",1.47,--,0.30,0.75,1,--,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24010000
,Oct 28,--,--,"1,703.60","1,903.60",--,--,True,"24,020.00",1.35,--,0.30,0.65,1,--,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24020000
,Oct 28,--,--,"1,693.60","1,893.60",--,--,True,"24,030.00",--,--,0.25,0.65,--,--,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24030000
,Oct 28,--,--,"1,701.20","1,873.80",--,--,True,"24,040.00",--,--,0.25,0.65,--,--,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24040000
,Oct 28,--,--,"1,691.10","1,871.30",--,--,True,"24,050.00",1.00,-7.75,0.25,0.65,1,1,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24050000
,Oct 28,--,--,"1,663.60","1,863.60",--,--,True,"24,060.00",8.07,--,0.25,0.65,--,1,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24060000
,Oct 28,--,--,"1,653.60","1,945.20",--,--,True,"24,070.00",7.40,--,0.25,0.70,--,1,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24070000
,Oct 28,--,--,"1,661.00","1,841.30",--,--,True,"24,080.00",--,--,0.30,0.70,--,--,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24080000
,Oct 28,--,--,"1,633.60","1,833.60",--,--,True,"24,090.00",--,--,0.20,1.10,--,--,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24090000
,Oct 28,--,--,"1,641.30","1,813.80",--,--,True,"24,100.00",8.32,--,0.30,0.70,--,7,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24100000
,Oct 28,--,--,"1,631.20","1,803.80",--,--,True,"24,110.00",--,--,0.30,0.75,--,--,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24110000
,Oct 28,--,--,"1,621.30","1,793.90",--,--,True,"24,120.00",57.64,--,0.30,0.70,--,1,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24120000
,Oct 28,--,--,"1,593.60","1,793.60",--,--,True,"24,130.00",--,--,0.30,0.70,--,--,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24130000
,Oct 28,--,--,"1,601.30","1,781.10",--,--,True,"24,140.00",1.30,--,0.30,0.70,1,--,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24140000
,Oct 28,--,--,"1,573.70","1,773.70",--,--,True,"24,150.00",2.00,-6.60,0.40,0.75,20,19,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24150000
,Oct 28,--,--,"1,581.30","1,753.90",--,--,True,"24,160.00",1.65,--,0.40,0.75,6,--,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24160000
,Oct 28,--,--,"1,553.70","1,753.70",--,--,True,"24,170.00",--,--,0.35,0.75,--,--,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24170000
,Oct 28,--,--,"1,561.30","1,733.90",--,--,True,"24,180.00",--,--,0.35,0.80,--,--,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24180000
,Oct 28,--,--,"1,552.10","1,731.40",--,--,True,"24,190.00",1.55,-7.35,0.35,0.80,2,3,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24190000
,Oct 28,812.12,--,"1,523.70","1,723.70",--,--,True,"24,200.00",1.00,-8.30,0.35,0.80,20,19,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24200000
,Oct 28,--,--,"1,531.70","1,704.00",--,--,True,"24,210.00",0.95,-7.85,0.40,1.30,2,4,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24210000
,Oct 28,--,--,"1,521.30","1,694.00",--,--,True,"24,220.00",1.60,--,0.40,0.80,2,--,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24220000
,Oct 28,--,--,"1,511.30","1,684.00",--,--,True,"24,230.00",1.55,-7.82,0.40,0.85,1,6,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24230000
,Oct 28,--,--,"1,501.40","1,681.50",--,--,True,"24,240.00",1.35,--,0.25,1.20,1,--,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24240000
,Oct 28,766.23,--,"1,473.80","1,673.80",--,--,True,"24,250.00",1.55,--,0.40,0.85,1,--,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24250000
,Oct 28,--,--,"1,481.70","1,654.00",--,--,True,"24,260.00",0.95,-9.00,0.40,0.80,3,8,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24260000
,Oct 28,--,--,"1,453.80","1,653.80",--,--,True,"24,270.00",0.85,--,0.45,0.80,1,--,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24270000
,Oct 28,--,--,"1,461.40","1,634.00",--,--,True,"24,280.00",2.00,--,0.45,0.85,4,--,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24280000
,Oct 28,--,--,"1,433.80","1,633.80",--,--,True,"24,290.00",--,--,0.45,0.85,--,--,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24290000
,Oct 28,--,--,"1,441.40","1,614.10",--,--,True,"24,300.00",1.05,-12.45,0.75,0.85,38,9,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24300000
,Oct 28,--,--,"1,431.40","1,604.10",--,--,True,"24,310.00",2.18,--,0.45,0.85,3,--,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24310000
,Oct 28,--,--,"1,403.80","1,603.80",--,--,True,"24,320.00",2.15,-7.85,0.50,1.35,3,1,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24320000
,Oct 28,--,--,"1,411.40","1,591.50",--,--,True,"24,330.00",2.19,--,0.50,0.85,3,--,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24330000
,Oct 28,--,--,"1,402.30","1,581.50",--,--,True,"24,340.00",2.23,--,0.50,0.95,3,--,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24340000
,Oct 28,--,--,"1,391.50","1,564.20",--,--,True,"24,350.00",1.55,-8.95,0.35,1.40,5,3,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24350000
,Oct 28,--,--,"1,381.50","1,554.20",--,--,True,"24,360.00",39.32,--,0.50,0.90,--,1,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24360000
,Oct 28,--,--,"1,353.90","1,553.90",--,--,True,"24,370.00",2.15,-9.90,0.35,0.90,1,2,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24370000
,Oct 28,--,--,"1,361.80","1,534.20",--,--,True,"24,380.00",2.18,-32.35,0.55,0.95,1,1,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24380000
,Oct 28,--,--,"1,333.90","1,533.90",--,--,True,"24,390.00",--,--,0.55,1.45,--,--,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24390000
,Oct 28,--,--,"1,341.50","1,521.60",--,--,True,"24,400.00",1.10,-11.84,0.55,0.95,20,21,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24400000
,Oct 28,--,--,"1,314.00","1,514.00",--,--,True,"24,410.00",12.80,--,0.55,0.95,--,1,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24410000
,Oct 28,--,--,"1,321.50","1,501.60",--,--,True,"24,420.00",1.50,-0.50,0.40,1.50,9,--,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24420000
,Oct 28,--,--,"1,311.50","1,484.30",--,--,True,"24,430.00",--,--,0.60,0.95,--,--,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24430000
,Oct 28,--,--,"1,301.50","1,481.60",--,--,True,"24,440.00",1.20,-1.90,0.60,1.05,28,--,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24440000
,Oct 28,--,--,"1,274.00","1,474.00",--,--,True,"24,450.00",1.02,-144.26,0.60,1.05,3,1,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24450000
,Oct 28,--,--,"1,281.60","1,454.30",--,--,True,"24,460.00",3.00,-33.82,0.60,1.00,6,--,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24460000
,Oct 28,--,--,"1,271.60","1,444.40",--,--,True,"24,470.00",113.00,--,0.65,1.00,--,1,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24470000
,Oct 28,--,--,"1,244.00","1,444.00",--,--,True,"24,480.00",38.37,--,0.65,1.00,--,1,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24480000
,Oct 28,--,--,"1,251.60","1,431.70",--,--,True,"24,490.00",1.95,-11.57,0.65,1.05,6,--,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24490000
,Oct 28,"1,280.55",899.25,"1,224.10","1,424.10",5,2,True,"24,500.00",1.35,-13.00,0.65,1.60,54,17,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24500000
,Oct 28,--,--,"1,214.10","1,414.10",--,--,True,"24,510.00",--,--,0.65,1.50,--,--,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24510000
,Oct 28,--,--,"1,204.10","1,395.30",--,--,True,"24,520.00",132.60,--,0.70,1.05,--,1,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24520000
,Oct 28,--,--,"1,203.30","1,385.30",--,--,True,"24,530.00",18.60,--,0.50,1.65,--,4,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24530000
,Oct 28,--,--,"1,213.10","1,375.40",--,--,True,"24,540.00",164.34,--,0.50,1.55,--,1,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24540000
,Oct 28,--,--,"1,204.60","1,366.60",--,--,True,"24,550.00",2.08,-13.71,0.70,1.10,1,1,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24550000
,Oct 28,--,--,"1,184.40","1,346.80",--,--,True,"24,560.00",--,--,0.70,1.10,--,--,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24560000
,Oct 28,--,--,"1,174.40","1,336.80",--,--,True,"24,570.00",16.15,--,0.75,1.10,--,3,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24570000
,Oct 28,--,--,"1,164.40","1,326.80",--,--,True,"24,580.00",--,--,0.75,1.20,--,--,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24580000
,Oct 28,--,--,"1,154.40","1,316.90",--,--,True,"24,590.00",3.30,-14.18,0.75,1.15,2,1,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24590000
,Oct 28,454.10,--,"1,195.70","1,265.80",--,3,True,"24,600.00",1.90,-15.40,0.70,1.15,109,14,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24600000
,Oct 28,--,--,"1,185.70","1,255.80",--,--,True,"24,610.00",3.20,-0.45,0.80,1.15,14,--,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24610000
,Oct 28,--,--,"1,124.40","1,287.00",--,--,True,"24,620.00",2.30,-13.91,0.80,1.25,3,2,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24620000
,Oct 28,--,--,"1,165.80","1,237.40",--,--,True,"24,630.00",3.30,-127.93,0.80,1.20,16,1,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24630000
,Oct 28,--,--,"1,155.80","1,225.90",--,--,True,"24,640.00",--,--,0.75,1.20,--,1,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24640000
,Oct 28,"1,054.10",361.80,"1,094.60","1,257.00",1,1,True,"24,650.00",64.00,--,0.85,1.25,--,6,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24650000
,Oct 28,--,--,"1,084.60","1,247.10",--,--,True,"24,660.00",3.90,-198.03,0.85,1.70,5,1,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24660000
,Oct 28,--,--,"1,074.70","1,237.10",--,--,True,"24,670.00",25.20,--,0.85,1.25,--,2,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24670000
,Oct 28,--,--,"1,064.70","1,227.10",--,--,True,"24,680.00",4.00,-17.75,0.90,1.25,9,5,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24680000
,Oct 28,--,--,"1,054.70","1,217.20",--,--,True,"24,690.00",22.25,--,0.90,1.30,--,4,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24690000
,Oct 28,"1,050.70",784.30,"1,044.80","1,207.20",1,4,True,"24,700.00",1.50,-22.50,0.90,1.30,62,8,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24700000
,Oct 28,--,--,"1,034.80","1,197.20",--,--,True,"24,710.00",4.40,-55.42,0.95,1.40,1,1,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24710000
,Oct 28,--,--,"1,024.80","1,187.30",--,--,True,"24,720.00",4.48,-56.62,1.00,1.35,14,4,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24720000
,Oct 28,--,--,"1,014.90","1,177.30",--,--,True,"24,730.00",1.85,-61.35,0.90,1.35,8,4,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24730000
,Oct 28,249.00,--,"1,056.00","1,126.00",--,1,True,"24,740.00",4.60,-59.02,1.00,1.45,3,3,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24740000
,Oct 28,--,--,995.00,"1,157.40",--,--,True,"24,750.00",1.52,-22.32,0.95,1.40,28,4,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24750000
,Oct 28,--,--,985.00,"1,147.40",--,--,True,"24,760.00",4.60,-18.70,0.95,1.40,6,1,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24760000
,Oct 28,350.15,--,"1,026.00","1,097.70",--,2,True,"24,770.00",3.20,-24.20,1.00,1.45,20,2,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24770000
,Oct 28,--,--,965.10,"1,127.50",--,--,True,"24,780.00",2.93,-20.02,1.05,1.45,12,5,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24780000
,Oct 28,--,--,"1,006.10","1,076.30",--,--,True,"24,790.00",5.00,-18.43,1.00,1.50,18,3,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24790000
,Oct 28,972.70,372.70,996.10,"1,067.80",1,5,True,"24,800.00",1.80,-23.60,1.05,1.50,40,15,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24800000
,Oct 28,--,--,986.50,"1,056.30",--,--,True,"24,810.00",114.25,--,1.15,1.60,--,2,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24810000
,Oct 28,--,--,976.20,"1,046.30",--,--,True,"24,820.00",2.14,-25.08,1.10,1.55,1,2,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24820000
,Oct 28,--,--,966.60,"1,036.40",--,--,True,"24,830.00",27.83,--,1.15,1.60,--,3,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24830000
,Oct 28,--,--,956.20,"1,026.40",--,--,True,"24,840.00",4.60,-202.70,1.15,1.60,9,1,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24840000
,Oct 28,--,--,946.20,"1,016.40",--,--,True,"24,850.00",1.95,-25.35,1.20,1.65,29,4,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24850000
,Oct 28,--,--,885.40,"1,047.90",--,--,True,"24,860.00",--,--,1.20,1.65,--,--,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24860000
,Oct 28,--,--,875.50,"1,034.60",--,--,True,"24,870.00",5.60,-140.60,1.25,1.70,8,1,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24870000
,Oct 28,--,--,916.30,988.00,--,--,True,"24,880.00",--,--,1.30,1.70,--,--,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24880000
,Oct 28,--,--,906.40,978.00,--,--,True,"24,890.00",5.90,--,1.30,1.75,8,--,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24890000
,Oct 28,927.21,656.61,845.70,"1,008.10",4,10,True,"24,900.00",2.18,-28.52,1.35,1.75,420,258,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24900000
,Oct 28,815.73,606.21,886.00,956.60,1,6,True,"24,910.00",34.80,--,1.35,1.80,--,1,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24910000
,Oct 28,--,--,825.80,988.20,--,--,True,"24,920.00",2.13,-29.47,1.40,1.85,3,3,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24920000
,Oct 28,812.45,581.95,815.80,978.30,4,1,True,"24,930.00",190.20,--,1.45,1.85,--,1,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24930000
,Oct 28,--,--,856.10,928.20,--,--,True,"24,940.00",47.00,--,1.45,1.90,--,3,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24940000
,Oct 28,--,--,802.20,961.90,--,--,True,"24,950.00",4.20,-30.13,1.50,1.95,6,6,False,/market-activity/index/ndx/option-chain/call-put-options/ndxp--251028c24950000
